Stock1,Stock2,PValue
HD,MA,0.0010927161947119626
HD,V,0.0013076655467669442
HD,WFC,0.00201055022188444
HD,JPM,0.0020980799649532073
NFLX,NVDA,0.0028187019252670573
NFLX,V,0.003660817671603028
JPM,NFLX,0.003793066656093954
MA,NVDA,0.0065606014683171395
HD,NVDA,0.00698450343588174
HD,MSFT,0.008981095342984297
LOW,NFLX,0.010238087864552561
LOW,NVDA,0.01413331510489311
MA,NFLX,0.014599988407405649
HD,NFLX,0.015766690600707355
LOW,MA,0.018609610985563952
META,MSFT,0.01879678968216882
MA,META,0.02016979140745178
HD,META,0.020736807738240933
LOW,V,0.02091738262430409
CVX,WFC,0.021467705065407607
JPM,MA,0.02304815123793286
META,NVDA,0.024406851755148583
CVX,GS,0.024421266447366734
MA,V,0.024734895525721945
AAPL,MSFT,0.024999190697398404
HD,PEP,0.025734232841449416
JPM,V,0.02750543064280779
DIS,XOM,0.027632785178614845
CVX,GOOGL,0.02790370959089721
HD,KO,0.02981349546571402
CVX,PEP,0.03073713958036704
CVX,MSFT,0.035947551370333154
CVX,NVDA,0.03638881214556038
CVX,MA,0.03792145140566883
CVX,V,0.03848967336884569
GS,HD,0.038714125341364015
CVX,JPM,0.03900648755904287
LOW,MSFT,0.03958269697372835
LOW,WFC,0.0428043344033103
AAPL,NVDA,0.045681345036907385
CVX,META,0.04990426946734299
