Model,Feature,Mean Importance,Std Importance
Random Forest,hedge_ratio,0.07070586748049701,0.014709714707538778
Random Forest,spread,0.24294788092882375,0.10090541122143555
Random Forest,spread_return,0.010306255175090297,0.002189390323722527
Random Forest,spread_momentum_5,0.013507178632772305,0.0016166711791087787
Random Forest,spread_momentum_20,0.03594688399661235,0.01299198727997346
Random Forest,spread_zscore_20,0.015289585295103414,0.003939564362237956
Random Forest,spread_zscore_60,0.01853207382525249,0.004043186527112764
Random Forest,spread_percentile_60,0.007894865194648645,0.0019484305832804863
Random Forest,spread_percentile_120,0.013542265591096253,0.002109765371683974
Random Forest,distance_from_mean_20,0.022069887438571207,0.010010149375128336
Random Forest,distance_from_mean_60,0.01934093013904954,0.005812393847940506
Random Forest,zscore_change,0.009957118343423468,0.0030331198606919577
Random Forest,spread_volatility_20,0.053705469471927655,0.007755293273856824
Random Forest,spread_volatility_60,0.07525398529708323,0.016376838426071277
Random Forest,realized_volatility,0.053904900816184084,0.01361464600197555
Random Forest,vol_regime_high,0.004680006269734742,0.0020654937186776177
Random Forest,vol_regime_low,0.0029313870884600363,0.0009101745083303651
Random Forest,vol_regime_medium,0.002216227134763105,0.000650848190494263
Random Forest,trend_bullish,0.001969870196889739,0.0013029861988889926
Random Forest,trend_bearish,0.001962974587011894,0.0009491135660573784
Random Forest,rolling_half_life,0.02928221490973094,0.008115733337938668
Random Forest,rolling_mean_reversion_speed,0.03051251056137059,0.006285343999752782
Random Forest,distance_from_equilibrium,0.020310540253749638,0.0051063192645518915
Random Forest,rolling_correlation_20,0.03309625965140721,0.00800539623667872
Random Forest,rolling_correlation_60,0.03945569220282136,0.013302840211394716
Random Forest,rolling_beta,0.0459310832445254,0.0072161902252341915
Random Forest,rolling_adf_statistic,0.019416642919186804,0.005480132467353739
Random Forest,rolling_adf_pvalue,0.021402422989714308,0.002769823113786657
Random Forest,rolling_skew,0.0419961520549158,0.01003244753699951
Random Forest,rolling_kurtosis,0.04193086830958279,0.0047522411204775124
XGBoost,hedge_ratio,0.040115632116794586,0.006940968334674835
XGBoost,spread,0.10759389400482178,0.02708214707672596
XGBoost,spread_return,0.02061145380139351,0.0015719735529273748
XGBoost,spread_momentum_5,0.028912212699651718,0.0022170424927026033
XGBoost,spread_momentum_20,0.0407852903008461,0.0061110216192901134
XGBoost,spread_zscore_20,0.025525936856865883,0.0030022519640624523
XGBoost,spread_zscore_60,0.03643215820193291,0.0037893729750066996
XGBoost,spread_percentile_60,0.03176692873239517,0.0035653214436024427
XGBoost,spread_percentile_120,0.03752993792295456,0.00517008313909173
XGBoost,distance_from_mean_20,0.03650111332535744,0.006669693160802126
XGBoost,distance_from_mean_60,0.03872910514473915,0.0046570212580263615
XGBoost,zscore_change,0.021892903372645378,0.002950166817754507
XGBoost,spread_volatility_20,0.047143757343292236,0.009278199635446072
XGBoost,spread_volatility_60,0.051321059465408325,0.009630984626710415
XGBoost,realized_volatility,0.0,0.0
XGBoost,vol_regime_high,0.03454606235027313,0.01814541034400463
XGBoost,vol_regime_low,0.0412277914583683,0.015303528867661953
XGBoost,vol_regime_medium,0.011815869249403477,0.010043950751423836
XGBoost,trend_bullish,0.02875843644142151,0.025757459923624992
XGBoost,trend_bearish,0.0,0.0
XGBoost,rolling_half_life,0.03869352117180824,0.0028104304801672697
XGBoost,rolling_mean_reversion_speed,0.03956776112318039,0.010290088132023811
XGBoost,distance_from_equilibrium,0.0,0.0
XGBoost,rolling_correlation_20,0.040791742503643036,0.0025037946179509163
XGBoost,rolling_correlation_60,0.038644712418317795,0.003322805045172572
XGBoost,rolling_beta,0.04070727527141571,0.001954944571480155
XGBoost,rolling_adf_statistic,0.03770644590258598,0.0062947701662778854
XGBoost,rolling_adf_pvalue,0.0,0.0
XGBoost,rolling_skew,0.04649342969059944,0.003960216883569956
XGBoost,rolling_kurtosis,0.03618557006120682,0.002378161996603012
