Pair,Correlation,Cointegration PValue,Beta,Half Life,Spread Mean,Spread Std,ZScore Volatility,Train Sharpe,Train Drawdown,Train Trades,Test Sharpe
HD-MA,0.5792256863893287,0.0010927161947119626,0.7963492238270478,20.01483816997787,1.0811916509049937,21.69223352979481,1.0,0.9049796390336506,-0.17662112533539243,8,0.4025257680585271
HD-V,0.5017084155966914,0.0013076655467669442,1.3184508632390401,21.477380517104965,1.1209467156607094,23.092915503297267,0.9999999999999998,1.2507329522818624,-0.19853506192728335,10,1.2329601164194406
HD-WFC,0.6880230919630287,0.00201055022188444,6.9785833072620775,15.855960105428045,1.1874513340591035,20.117888996335708,0.9999999999999999,1.4543662409689375,-0.176308069668144,10,0.46279600225226053
HD-JPM,0.7223729401182807,0.0020980799649532073,2.2502480329596266,29.726252898299933,1.9600223799827523,22.732878275772347,1.0,1.5505622580398557,-0.17881367485616909,8,0.36178232624155515
NFLX-NVDA,0.7838785216239651,0.0028187019252670573,1.1228093679178586,43.14500216746741,2.8325848816464783,8.637396439228757,0.9999999999999999,0.2803277784431786,-0.14708545332766743,6,0.397509873220071
NFLX-V,0.7591113872425008,0.003660817671603028,0.1585320798630814,30.213612885626407,-0.3573129514713812,7.400186009043302,1.0,-0.8092750264931896,-0.2629831437392892,6,0.563227410919784
JPM-NFLX,0.8998160239634564,0.003793066656093954,3.5581319457850844,22.086151812552853,5.594048054596666,21.1759509934813,1.0,0.669781674242082,-0.1527180425729484,7,1.636558225715911
MA-NVDA,0.8685675579534209,0.0065606014683171395,11.176319516619605,1088.1710774714988,48.49088199632299,110.47813704697954,1.0,-0.34103921118137986,-1.5941780732560025,8,-0.10757163704099953
HD-NVDA,0.398606296571385,0.00698450343588174,8.758556690318489,620.0514530393506,43.596552102634185,100.37307589884092,1.0,-0.539956378005654,-1.5057929361450537,6,-0.4879673401532154
HD-MSFT,0.4352449337137528,0.008981095342984297,0.988725594439541,67.95185496231724,4.430907599877143,36.600970216014574,0.9999999999999999,0.08535630472049505,-0.5229111175315989,8,-0.08636546313998666
LOW-NFLX,0.7843926160467306,0.010238087864552561,5.4181673760095554,40.00888579442906,10.779542098982583,40.02619794056611,1.0,0.3529451859652987,-0.306548187374116,8,-0.8346842910395541
LOW-NVDA,0.5413020617185583,0.01413331510489311,5.9852764014162725,1364.6454837486008,28.832108650771783,66.25210927953785,0.9999999999999998,-0.3876793591717453,-1.0664133452900733,8,-0.4490395127346906
MA-NFLX,0.7544866215477118,0.014599988407405649,9.982782054136814,30.31659571661981,19.32096526934218,72.74451173606737,0.9999999999999999,-0.8053216978401424,-2.520605999014576,5,-0.28179790278140054
HD-NFLX,0.7076688583554687,0.015766690600707355,7.954084055940601,47.13297415431679,16.32226009227921,60.94127889873995,1.0,0.25026111684810287,-0.49877637575333966,8,-0.05677194195571414
LOW-MA,0.6163423705075911,0.018609610985563952,0.5416641244961775,21.082124893262232,0.6801637473925551,14.141043120664373,1.0,0.29250459595419054,-0.25519785975990067,7,0.7486460410910022
META-MSFT,0.9376246141957642,0.01879678968216882,0.7905566261299865,63.62090682099638,-5.0439837590448215,43.06720372095021,1.0000000000000002,0.52442736308221,-0.395611246517795,9,1.7394803152186409
MA-META,0.7941190406994815,0.02016979140745178,1.5018517542758423,88.713931744765,27.163359280772518,85.1366842265092,0.9999999999999999,-0.5684129511969482,-1.620976516187403,6,1.7440917978253474
HD-META,0.49162794996547776,0.020736807738240933,1.188217086847949,192.37920863929975,24.4168853174587,76.98848736503366,1.0,-1.6459118478202774,-2.35112402349957,4,2.9104825083411545
LOW-V,0.5451504065118422,0.02091738262430409,0.8968147495384703,23.121621304635116,0.7017505582935005,15.062491432941881,1.0,0.2742556970534033,-0.24114867391499226,7,0.32533858988648184
CVX-WFC,-0.34105523352173167,0.021467705065407607,3.3615778576108166,42.976351493624364,1.6679494640019399,20.64996111951976,1.0,0.7569881659537463,-0.18401596679384077,8,-0.07152036817572228
JPM-MA,0.8734946589803977,0.02304815123793286,0.3532019441564181,18.412885968711002,-0.1441307866093833,7.278031737889565,0.9999999999999999,0.5720868902790901,-0.13610707488345125,9,1.387752056333477
META-NVDA,0.9082576634601676,0.024406851755148583,7.526526955634515,35.115068796889375,11.866069284059785,40.24856806910631,1.0,1.2554614043297223,-0.1645083137496382,8,-0.5414877548439876
CVX-GS,0.13031359145909285,0.024421266447366734,0.44689928457741457,23.53384241469733,0.639223960466124,14.70813851353331,1.0,0.37015353534593587,-0.1753857637057716,7,-1.0936823623084235
MA-V,0.9679533747770451,0.024734895525721945,1.6558579537610394,13.895961723553937,-0.001474998811501765,7.881310601855906,1.0,1.3211727594962812,-0.08547252090039655,8,0.5578077410855425
AAPL-MSFT,0.9401680261584238,0.024999190697398404,0.5647712067163286,26.77123754456177,0.9208756955258863,8.800195534463311,1.0,0.9171434639124838,-0.1547926632400185,8,-1.3305503010290207
HD-PEP,0.12960406390515883,0.025734232841449416,1.8137028307604186,25.623599829413493,0.6789217889050114,25.10368530074668,1.0,-0.029035155354547832,-0.4591985156241541,8,-0.4869151192222887
JPM-V,0.8598162431571669,0.02750543064280779,0.5848918334821709,20.35282224259821,-0.1531642079266277,7.65211729009492,1.0,0.8335903045259836,-0.10007205183841954,10,1.8727433196063994
DIS-XOM,-0.7935539394796344,0.027632785178614845,1.0881663009510816,59.03533549484303,3.8694877277952613,30.305221545722954,1.0,-0.7329388187584435,-0.48855884920826675,6,-1.0175839044628088
CVX-GOOGL,-0.4641545898644041,0.02790370959089721,1.1641661020769491,47.30520651512884,3.379265758550757,26.55702178068792,1.0,0.5226942541681324,-0.41867019068463024,9,0.3481294218559578
HD-KO,0.0409130006611596,0.02981349546571402,5.162202775803942,22.967687334595603,0.40240909641511485,24.19411441017692,1.0,0.8504667444357119,-0.23500791247872344,9,-0.047130436332499547
CVX-PEP,0.323358697478335,0.03073713958036704,0.8815046719726624,20.17121814295388,0.19464855202741552,11.918495681250855,0.9999999999999999,0.9958486917021813,-0.161567660238858,8,0.2031107521030859
CVX-MSFT,-0.2716868094282013,0.035947551370333154,0.4761511017763127,67.85555319002749,3.2635369578549844,25.472975395112314,1.0,-0.38053700883137026,-0.37812552365746493,7,1.123623787554143
CVX-NVDA,-0.06559171735431053,0.03638881214556038,4.185000344343626,739.877181171063,23.03180815542392,53.31521294753443,0.9999999999999999,-0.764987993016799,-1.0081965041808112,6,-0.06431298757242615
CVX-MA,0.03749452573846625,0.03792145140566883,0.3852657031616683,38.72123705447514,1.0239170551321546,16.71771880568359,1.0,0.39560878492198226,-0.2542930449089927,7,-0.1182901302458682
CVX-V,0.03578229164978267,0.03848967336884569,0.6382435405071901,41.105308953370965,0.9592098755722255,16.46406100095809,1.0,0.09890153120209737,-0.16383930172724248,7,0.030122632915586145
GS-HD,0.7299377238227099,0.038714125341364015,1.0795674303129317,14.30265848649718,0.5387404475921234,17.104692636576765,1.0,1.771965277343258,-0.19491449935489233,10,-0.5845053655993104
CVX-JPM,-0.045883700683202584,0.03900648755904287,1.0851155536373862,54.080532560027606,1.8927499512424824,20.283366175364165,1.0,0.29271546004267734,-0.18885088665750271,7,-0.5010994218279441
LOW-MSFT,0.5400630032054287,0.03958269697372835,0.6731338405465039,67.73107669352012,2.7833400557108794,23.129088674261162,0.9999999999999999,0.2632028191596072,-0.3273281494603124,9,-0.707277799549845
LOW-WFC,0.5830713540873933,0.0428043344033103,4.741857383463095,23.06651711566003,0.950022802109426,15.690772712081118,1.0,1.422477911441754,-0.12977089409784273,10,-0.4066207055944764
AAPL-NVDA,0.8801559287448063,0.045681345036907385,5.096710228159749,3921.058098417184,20.71332498548819,47.47213499271315,1.0,-0.9290525622187998,-1.157775019652946,5,0.18690385369411117
CVX-META,-0.348979071641423,0.04990426946734299,0.564216513793406,98.16340146382498,14.641723326986227,46.11812874766976,1.0,-1.3789081387407833,-1.084948808548469,6,1.801288244373452
