Pair,Sharpe (Before Costs),Sharpe (After Costs),CAGR (Before Costs),CAGR (After Costs),Max Drawdown (Before Costs),Max Drawdown (After Costs),Trades,Win Rate,Total Gross PnL,Total Net PnL,Total Cost,Cost vs Gross Profit %,Half Life,Sharpe Rank,Drawdown Rank,Half-Life Rank,Trades Rank,Research Score
HD-WFC,1.5196899867125668,1.4543662409689375,,,-0.17045910532885297,-0.176308069668144,10,90.0,122.62708710697933,117.08406960073158,5.543017506247742,4.520222764006486,15.855960105428045,3.0,12.0,3.0,3.0,21.0
LOW-WFC,1.4882046970370628,1.422477911441754,,,-0.1283433027932948,-0.12977089409784273,10,90.0,77.02259863524921,73.30179011646675,3.72080851878246,4.830801069700135,23.06651711566003,4.0,3.0,12.0,3.0,22.0
GS-HD,1.8561993965928583,1.771965277343258,,,-0.19214035957481004,-0.19491449935489233,10,100.0,128.57364279051035,122.6355282077554,5.938114582754948,4.618454026716915,14.30265848649718,1.0,17.0,2.0,3.0,23.0
MA-V,1.4678722026048234,1.3211727594962812,,,-0.08394834519294617,-0.08547252090039655,8,87.5,57.582394312377346,51.79949886040444,5.7828954519729034,10.042818679267508,13.895961723553937,5.0,1.0,1.0,17.0,24.0
JPM-V,0.9084020542439691,0.8335903045259836,,,-0.09889228305025843,-0.10007205183841954,10,70.0,28.178605844548414,25.67247649176201,2.5061293527864064,8.893730820509191,20.35282224259821,12.0,2.0,7.0,3.0,24.0
JPM-MA,0.6488216479981378,0.5720868902790901,,,-0.13542499989569043,-0.13610707488345125,9,77.77777777777779,18.267228020159806,15.942895495727413,2.324332524432391,12.724057103065917,18.412885968711002,15.0,4.0,4.0,8.0,31.0
HD-V,1.3265515023627064,1.2507329522818624,,,-0.19581773199788147,-0.19853506192728335,10,80.0,94.12301373076713,88.35387383601136,5.769139894755776,6.129361636526038,21.477380517104965,7.0,18.0,9.0,3.0,37.0
CVX-PEP,1.0401674770410338,0.9958486917021813,,,-0.1595366806794702,-0.161567660238858,8,87.5,51.05238410039088,48.829376950418286,2.2230071499725996,4.354365009871457,20.17121814295388,8.0,8.0,6.0,17.0,39.0
HD-MA,0.9691423726441071,0.9049796390336506,,,-0.17620031924456733,-0.17662112533539243,8,87.5,64.84419825549435,60.269945792989375,4.574252462504978,7.054220093032601,20.01483816997787,10.0,13.0,5.0,17.0,45.0
AAPL-MSFT,0.98572677530442,0.9171434639124838,,,-0.15417577039807734,-0.1547926632400185,8,75.0,36.696785915536736,34.12309573339734,2.573690182139396,7.013394001488679,26.77123754456177,9.0,7.0,16.0,17.0,49.0
HD-KO,0.9182942988503134,0.8504667444357119,,,-0.22989544407818593,-0.23500791247872344,9,77.77777777777779,65.86168881135134,60.79207206315072,5.069616748200627,7.697368287536034,22.967687334595603,11.0,19.0,11.0,8.0,49.0
HD-JPM,1.6213791404884237,1.5505622580398557,,,-0.1771118373406528,-0.17881367485616909,8,100.0,100.74861171167339,96.19149995165522,4.557111760018174,4.523250179426698,29.726252898299933,2.0,14.0,17.0,17.0,50.0
META-NVDA,1.2923618346742929,1.2554614043297223,,,-0.16266607560835344,-0.1645083137496382,8,100.0,105.8655316254869,102.71803674170408,3.1474948837828096,2.973106388316721,35.115068796889375,6.0,10.0,20.0,17.0,53.0
JPM-NFLX,0.6990983840845852,0.669781674242082,,,-0.15087038379988582,-0.1527180425729484,7,71.42857142857143,36.883065230481044,35.31735707003088,1.5657081604501668,4.245059760261542,22.086151812552853,14.0,6.0,10.0,27.5,57.5
